InputSize,Time(us)
0,0
1000,552
2000,1458
3000,1757
4000,2260
5000,2794
6000,3690
7000,3875
8000,4724
9000,5958
10000,5924
11000,7120
12000,7987
13000,10023
14000,11055
15000,13043
16000,14458
17000,15208
18000,19756
19000,20395
20000,19362
21000,18691
22000,19570
23000,21473
24000,21466
25000,21173
26000,23316
27000,24161
28000,23696
29000,24809
30000,25290
31000,26247
32000,26640
33000,26751
34000,27879
35000,28190
36000,28913
37000,29787
38000,30517
39000,30261
40000,31478
41000,32117
42000,32367
43000,32769
44000,33278
45000,33618
46000,37842
47000,36500
48000,36950
49000,37435
50000,39208
51000,38765
52000,39863
53000,39455
54000,39702
55000,40543
56000,41150
57000,41768
58000,41753
59000,44907
60000,43842
61000,46812
62000,46930
63000,45300
64000,47835
65000,48424
66000,53414
67000,51013
68000,52226
69000,51912
70000,52079
71000,53182
72000,54271
73000,54190
74000,54580
75000,55698
76000,55677
77000,56028
78000,57843
79000,58030
80000,58480
81000,59890
82000,58651
83000,60285
84000,60175
85000,62136
86000,62420
87000,69782
88000,64518
89000,64342
90000,63832
91000,65200
92000,66077
93000,68333
94000,67181
95000,68460
96000,68449
97000,68196
98000,68493
99000,69931
100000,70446
101000,70649
102000,72568
103000,73190
104000,73223
105000,73071
106000,73916
107000,88238
108000,77818
109000,76645
110000,77850
111000,77162
112000,77870
113000,78007
114000,79204
115000,79888
116000,80653
117000,81679
118000,81664
119000,83404
120000,83555
121000,83739
122000,81023
123000,84515
124000,85158
125000,85998
126000,88016
127000,87279
128000,88650
129000,94041
130000,90375
131000,90204
132000,90546
133000,87773
134000,90602
135000,91373
136000,93295
137000,93905
138000,98608
139000,94952
140000,95451
141000,96275
142000,100986
143000,98259
144000,98186
145000,97985
146000,100550
147000,100023
148000,100893
149000,103627
150000,101158
151000,102768
152000,102732
153000,103756
154000,103407
155000,105304
156000,106148
157000,106038
158000,106854
159000,108097
160000,107046
161000,107777
162000,108646
163000,108213
164000,111499
165000,110453
166000,110495
167000,111768
168000,125544
169000,114139
