InputSize,Time(us)
0,0
1000,556
2000,903
3000,1375
4000,1765
5000,2213
6000,2654
7000,3658
8000,3926
9000,4652
10000,5183
11000,5909
12000,6449
13000,7077
14000,7247
15000,7844
16000,8780
17000,9994
18000,11675
19000,13067
20000,12816
21000,14824
22000,14768
23000,18131
24000,21629
25000,19229
26000,19248
27000,20093
28000,19546
29000,19772
30000,20520
31000,20013
32000,20610
33000,21591
34000,21872
35000,22547
36000,22501
37000,23256
38000,23936
39000,24450
40000,24954
41000,25254
42000,25684
43000,26115
44000,26633
45000,27549
46000,28157
47000,28007
48000,29054
49000,31229
50000,29827
51000,30153
52000,30868
53000,32429
54000,32104
55000,33139
56000,32665
57000,33136
58000,33730
59000,35465
60000,34932
61000,36856
62000,35380
63000,36058
64000,36978
65000,38755
66000,39438
67000,41434
68000,40341
69000,41181
70000,42049
71000,47716
72000,44664
73000,45723
74000,44465
75000,45275
76000,45285
77000,43921
78000,44991
79000,48908
80000,48427
81000,48021
82000,48287
83000,48425
84000,51140
85000,50125
86000,50672
87000,51019
88000,51082
89000,53199
90000,54168
91000,53785
92000,52607
93000,52813
94000,54731
95000,54258
96000,54415
97000,54860
98000,55519
99000,56735
100000,56823
101000,58488
102000,57318
103000,58753
104000,65610
105000,60385
106000,60585
107000,61530
108000,60632
109000,64596
110000,63793
111000,62186
112000,63170
113000,64519
114000,64192
115000,65214
116000,65182
117000,65618
118000,65388
119000,66398
120000,67156
121000,67097
122000,69064
123000,69073
124000,72506
125000,70783
126000,69330
127000,69893
128000,70888
129000,71628
130000,71049
131000,73196
132000,72507
133000,72397
134000,74485
135000,73767
136000,75256
137000,75659
138000,82350
139000,78604
140000,78119
141000,77512
142000,78239
143000,78006
144000,79131
145000,78473
146000,79466
147000,80706
148000,81953
149000,81179
150000,82190
151000,83425
152000,82275
153000,83296
154000,85248
155000,87333
156000,87917
157000,87537
158000,88494
159000,89596
160000,86866
161000,90773
162000,88089
163000,88539
164000,89208
165000,89256
166000,109335
167000,91879
168000,91587
169000,96533
170000,90486
171000,92400
172000,93179
173000,93777
174000,94873
175000,97642
176000,96897
177000,98647
178000,100072
179000,96266
180000,95614
181000,97956
182000,98231
183000,101786
184000,99780
185000,100651
186000,98998
187000,100355
188000,100675
189000,101634
190000,100847
191000,104250
192000,101492
193000,103142
194000,103730
195000,104113
196000,104630
197000,104792
198000,110407
199000,123275
200000,108601
201000,107294
202000,107536
203000,109245
204000,110085
205000,109790
206000,111038
207000,111164
208000,111849
209000,112253
210000,112770
211000,113279
212000,112080
213000,116186
214000,113633
215000,114632
216000,115171
217000,115357
218000,116422
219000,117002
220000,118187
221000,117895
222000,118360
223000,119475
224000,119690
225000,121269
226000,120629
227000,121267
228000,121286
229000,121742
230000,123104
231000,123543
232000,123169
233000,124849
234000,124737
235000,127940
236000,125234
237000,125451
238000,125675
239000,129021
240000,127988
241000,127810
242000,129622
243000,133047
244000,131279
245000,130845
246000,131183
247000,130709
248000,131355
249000,131758
250000,131915
251000,131774
252000,133995
253000,135142
254000,135041
255000,135377
256000,135032
257000,135697
258000,136448
259000,140506
260000,139339
261000,137541
262000,138841
263000,143423
264000,141494
265000,138288
266000,140361
267000,142592
268000,149477
269000,142262
270000,141973
271000,143569
272000,143352
273000,144600
274000,145399
275000,145376
276000,146394
277000,149531
278000,146404
279000,148365
280000,147422
281000,149130
282000,150047
283000,150840
284000,149197
285000,155259
286000,151016
287000,153182
288000,154815
289000,154033
290000,154255
291000,154342
292000,155333
293000,155684
294000,159360
295000,156643
296000,157211
297000,156672
298000,158747
299000,159676
300000,158662
301000,168785
302000,166709
303000,159747
304000,161727
305000,166473
306000,161082
307000,162364
308000,164219
309000,163223
310000,164248
311000,164804
312000,169972
313000,168023
314000,166568
315000,169131
316000,166381
317000,168420
318000,169188
319000,166433
320000,172283
321000,169396
322000,169195
323000,170326
324000,169775
325000,173566
326000,172113
327000,173854
328000,171499
329000,173306
330000,173462
331000,182147
332000,175617
333000,175244
334000,177361
335000,174597
336000,177517
337000,179988
338000,179368
339000,178627
340000,179705
341000,180975
342000,182229
343000,181137
344000,184410
345000,188937
346000,184151
347000,187481
348000,189835
349000,187555
350000,189120
351000,186661
352000,183964
353000,186144
354000,187065
355000,186075
356000,187784
357000,188999
358000,188365
359000,187879
360000,191457
361000,191547
362000,200135
363000,192431
364000,191115
365000,190741
366000,194405
367000,192041
368000,193471
369000,203809
370000,193892
371000,195616
372000,197080
373000,197663
374000,197746
375000,200868
376000,198370
377000,197861
378000,200213
379000,198240
380000,199321
381000,200351
382000,200492
383000,200878
384000,201833
385000,201529
386000,202583
387000,209088
388000,203120
389000,203343
390000,205694
391000,204460
392000,204333
393000,206145
394000,238701
395000,206860
396000,208033
397000,208507
398000,212410
399000,208863
400000,207663
401000,210174
402000,212629
403000,211356
404000,213209
405000,212743
406000,213028
407000,215385
408000,215733
409000,215962
410000,214947
411000,215987
412000,217231
413000,218538
414000,219660
415000,221443
416000,218530
417000,220116
418000,220970
419000,221124
420000,220589
421000,223340
422000,223246
423000,223862
424000,224240
425000,224008
426000,226652
427000,225028
428000,251593
429000,227730
430000,226699
431000,229669
432000,230943
433000,228918
434000,231260
435000,237003
436000,232056
437000,231153
438000,231205
439000,236244
440000,232760
441000,234778
442000,234424
443000,233963
444000,234828
445000,234421
446000,235639
447000,236095
448000,237087
449000,237829
450000,246945
451000,239087
452000,238208
453000,239361
454000,240353
455000,238752
456000,240220
457000,245964
458000,240759
459000,241256
460000,241936
461000,246437
462000,244324
463000,244905
464000,252881
465000,244592
466000,246778
467000,246034
468000,247660
469000,247530
470000,249387
471000,249967
472000,250199
473000,258217
474000,249535
475000,254623
476000,252438
477000,251972
478000,254427
479000,253049
480000,253232
481000,255335
482000,253359
483000,255216
484000,254494
485000,256850
486000,256750
487000,258730
488000,258239
489000,258349
490000,258366
491000,259032
492000,259195
493000,267673
494000,262123
495000,260478
496000,261108
497000,261981
498000,262189
499000,263332
500000,263651
501000,264807
502000,264019
503000,265987
504000,264176
505000,265751
506000,265748
507000,265993
508000,273965
509000,267376
510000,268403
511000,268157
512000,274918
513000,270410
514000,270211
515000,274564
516000,270588
517000,277080
518000,271535
519000,273378
520000,272916
521000,273119
522000,305168
523000,274913
524000,273576
525000,276665
526000,275114
527000,276603
528000,276338
529000,283080
530000,277233
531000,278356
532000,279464
533000,281370
534000,280107
535000,281184
536000,283352
537000,282031
538000,284867
539000,281403
540000,292011
541000,284644
542000,290038
543000,284459
544000,287151
545000,287023
546000,289335
547000,287556
548000,291080
549000,289623
550000,291497
551000,324575
552000,293514
553000,291627
554000,295222
555000,292624
556000,297721
557000,293942
558000,301552
559000,296069
560000,303441
561000,295386
562000,298599
563000,298065
564000,300802
565000,297685
566000,300732
567000,300989
568000,303584
569000,302403
570000,303152
571000,301598
572000,302899
573000,303659
574000,307254
575000,309653
576000,306598
577000,306918
578000,306818
579000,306909
580000,309260
581000,306371
582000,340872
583000,308050
584000,309123
585000,310018
586000,310187
587000,311948
588000,310986
589000,313459
590000,323851
591000,315786
592000,312371
593000,315419
594000,313740
595000,314759
596000,315110
597000,317410
598000,315220
599000,314222
600000,317668
601000,317325
602000,318332
603000,318732
604000,321823
605000,318682
606000,321374
607000,319527
608000,322794
609000,324483
610000,327005
611000,326482
612000,321934
613000,324736
614000,321030
615000,326549
616000,321516
617000,325111
618000,325913
619000,327289
620000,326364
621000,327203
622000,331522
623000,331453
624000,332356
625000,329646
626000,331340
627000,331797
628000,332138
629000,331549
630000,333959
631000,334195
632000,334064
633000,337810
634000,333386
635000,334516
636000,334820
637000,334043
638000,340937
639000,359802
640000,338312
641000,338715
642000,338993
643000,339363
644000,339393
645000,340450
646000,337923
647000,340956
648000,340974
649000,340840
650000,340953
651000,339705
652000,343355
653000,343138
654000,346788
655000,349868
656000,343737
657000,348534
658000,345808
659000,348004
660000,345526
661000,348381
662000,351463
663000,349288
664000,350452
665000,351037
666000,351105
667000,367566
668000,352809
669000,353291
670000,354651
671000,355164
672000,357129
673000,356799
674000,357539
675000,357603
676000,358785
677000,362850
678000,359396
679000,361770
680000,361970
681000,362001
682000,364870
683000,362047
684000,364153
685000,367927
686000,365562
687000,372812
688000,364519
689000,367296
690000,368667
691000,366987
692000,368317
693000,369528
694000,369136
695000,373833
696000,367132
697000,368471
698000,375006
699000,380602
700000,371392
701000,373888
702000,370201
703000,373054
704000,372173
705000,371171
706000,375463
707000,373624
708000,374757
709000,375197
710000,374555
711000,379758
712000,378833
713000,382426
714000,376963
715000,379054
716000,379183
717000,378711
718000,379041
719000,380547
720000,382967
721000,381733
722000,381450
723000,384736
724000,383312
725000,389221
726000,387207
727000,383798
728000,387442
729000,388744
730000,383807
731000,386003
732000,389006
733000,387165
734000,387948
735000,389316
736000,387499
737000,388325
738000,390371
739000,389064
740000,389974
741000,393007
742000,390559
743000,390494
744000,395481
745000,389044
746000,392785
747000,393592
748000,391480
749000,393066
750000,395920
751000,424108
752000,393987
753000,396270
754000,394078
755000,395477
756000,402835
757000,396998
758000,399987
759000,399802
760000,396941
761000,402728
762000,401217
763000,401316
764000,401314
765000,404380
766000,403696
767000,408952
768000,402359
769000,405525
770000,409454
771000,406440
772000,407895
773000,405384
774000,406389
775000,407583
776000,408369
777000,407102
778000,414631
779000,409892
780000,407652
781000,408921
782000,413737
783000,411137
784000,408790
785000,410518
786000,414066
787000,411465
788000,419770
789000,415652
790000,420059
791000,413471
792000,415308
793000,416780
794000,418511
795000,419238
796000,422338
797000,415963
798000,420075
799000,426142
800000,422305
801000,419797
802000,420502
803000,424841
804000,422085
805000,422905
806000,424467
807000,427060
808000,428104
809000,426841
810000,426738
811000,431997
812000,427469
813000,428754
814000,430634
815000,431452
816000,427104
817000,435888
818000,432315
819000,430712
820000,429938
821000,431215
822000,436723
823000,431193
824000,432325
825000,433946
826000,437130
827000,432949
828000,439185
829000,434296
830000,436793
831000,437586
832000,435202
833000,439068
834000,444313
835000,471447
836000,441643
837000,441670
838000,444283
839000,448302
840000,440665
841000,442021
842000,443518
843000,443141
844000,441531
845000,444086
846000,445021
847000,446920
848000,444201
849000,443429
850000,446792
851000,450024
852000,446049
853000,447061
854000,447526
855000,452598
856000,452580
857000,455688
858000,451680
859000,454425
860000,456989
861000,453458
862000,454160
863000,453575
864000,457844
865000,457374
866000,455236
867000,456077
868000,459402
869000,465223
870000,460248
871000,462489
872000,473058
873000,463959
874000,465262
875000,476749
876000,462182
877000,463841
878000,464567
879000,466165
880000,464638
881000,465144
882000,465350
883000,481183
884000,470215
885000,470212
886000,466119
887000,466467
888000,468030
889000,471906
890000,472546
891000,490826
892000,470143
893000,483395
894000,484131
895000,473310
896000,469790
897000,473020
898000,471880
899000,475095
900000,477379
901000,474595
902000,472755
903000,474403
904000,476015
905000,481662
906000,483362
907000,479863
908000,479421
909000,488089
910000,481291
911000,495225
912000,486068
913000,483114
914000,482437
915000,484419
